idnum|car|mpg|cylinders|displacement|horsepower|weight|acceleration|origin|dt
101|Chevrolet Chevelle Malibu|18.00|8|307.00|130.00|3504.00|12.00|US|1970-10-17
102|Buick Skylark 320|15.00|8|350.00|165.00|3693.00|11.50|US|1970-05-13
103|Plymouth Satellite|18.00|8|318.00|150.00|3436.00|11.00|US|1970-03-05
104|AMC Rebel SST|16.00|8|304.00|150.00|3433.00|12.00|US|1970-05-10
105|Ford Torino|17.00|8|302.00|140.00|3449.00|10.50|US|1970-06-01
106|Ford Galaxie 500|15.00|8|429.00|198.00|4341.00|10.00|US|1970-09-10
107|Chevrolet Impala|14.00|8|454.00|220.00|4354.00|9.00|US|1970-04-25
108|Plymouth Fury iii|14.00|8|440.00|215.00|4312.00|8.50|US|1970-03-27
109|Pontiac Catalina|14.00|8|455.00|225.00|4425.00|10.00|US|1970-02-27
110|AMC Ambassador DPL|15.00|8|390.00|190.00|3850.00|8.50|US|1970-09-17
111|Citroen DS-21 Pallas|0.00|4|133.00|115.00|3090.00|17.50|Europe|1970-08-18
112|Chevrolet Chevelle Concours (sw)|0.00|8|350.00|165.00|4142.00|11.50|US|1970-05-24
113|Ford Torino (sw)|0.00|8|351.00|153.00|4034.00|11.00|US|1970-05-30
114|Plymouth Satellite (sw)|0.00|8|383.00|175.00|4166.00|10.50|US|1970-04-02
115|AMC Rebel SST (sw)|0.00|8|360.00|175.00|3850.00|11.00|US|1970-05-13
116|Dodge Challenger SE|15.00|8|383.00|170.00|3563.00|10.00|US|1970-10-02
117|Plymouth 'Cuda 340|14.00|8|340.00|160.00|3609.00|8.00|US|1970-10-18
118|Ford Mustang Boss 302|0.00|8|302.00|140.00|3353.00|8.00|US|1970-02-22
119|Chevrolet Monte Carlo|15.00|8|400.00|150.00|3761.00|9.50|US|1970-10-14
120|Buick Estate Wagon (sw)|14.00|8|455.00|225.00|3086.00|10.00|US|1970-05-26
121|Toyota Corolla Mark ii|24.00|4|113.00|95.00|2372.00|15.00|Japan|1970-05-03
122|Plymouth Duster|22.00|6|198.00|95.00|2833.00|15.50|US|1970-05-29
123|AMC Hornet|18.00|6|199.00|97.00|2774.00|15.50|US|1970-07-12
124|Ford Maverick|21.00|6|200.00|85.00|2587.00|16.00|US|1970-02-28
125|Datsun PL510|27.00|4|97.00|88.00|2130.00|14.50|Japan|1970-01-13
126|Volkswagen 1131 Deluxe Sedan|26.00|4|97.00|46.00|1835.00|20.50|Europe|1970-04-13
127|Peugeot 504|25.00|4|110.00|87.00|2672.00|17.50|Europe|1970-05-02
128|Audi 100 LS|24.00|4|107.00|90.00|2430.00|14.50|Europe|1970-03-22
129|Saab 99e|25.00|4|104.00|95.00|2375.00|17.50|Europe|1970-05-09
130|BMW 2002|26.00|4|121.00|113.00|2234.00|12.50|Europe|1970-07-06
131|AMC Gremlin|21.00|6|199.00|90.00|2648.00|15.00|US|1970-05-28
132|Ford F250|10.00|8|360.00|215.00|4615.00|14.00|US|1970-09-15
133|Chevy C20|10.00|8|307.00|200.00|4376.00|15.00|US|1970-04-22
134|Dodge D200|11.00|8|318.00|210.00|4382.00|13.50|US|1970-04-18
135|Hi 1200D|9.00|8|304.00|193.00|4732.00|18.50|US|1970-10-09
136|Datsun PL510|27.00|4|97.00|88.00|2130.00|14.50|Japan|1971-01-28
137|Chevrolet Vega 2300|28.00|4|140.00|90.00|2264.00|15.50|US|1971-04-24
138|Toyota Corolla|25.00|4|113.00|95.00|2228.00|14.00|Japan|1971-09-16
139|Ford Pinto|25.00|4|98.00|0.00|2046.00|19.00|US|1971-06-17
140|Volkswagen Super Beetle 117|0.00|4|97.00|48.00|1978.00|20.00|Europe|1971-10-04
141|AMC Gremlin|19.00|6|232.00|100.00|2634.00|13.00|US|1971-04-12
142|Plymouth Satellite Custom|16.00|6|225.00|105.00|3439.00|15.50|US|1971-03-24
143|Chevrolet Chevelle Malibu|17.00|6|250.00|100.00|3329.00|15.50|US|1971-05-27
144|Ford Torino 500|19.00|6|250.00|88.00|3302.00|15.50|US|1971-04-10
145|AMC Matador|18.00|6|232.00|100.00|3288.00|15.50|US|1971-04-14
146|Chevrolet Impala|14.00|8|350.00|165.00|4209.00|12.00|US|1971-07-14
147|Pontiac Catalina Brougham|14.00|8|400.00|175.00|4464.00|11.50|US|1971-04-23
148|Ford Galaxie 500|14.00|8|351.00|153.00|4154.00|13.50|US|1971-10-31
149|Plymouth Fury iii|14.00|8|318.00|150.00|4096.00|13.00|US|1971-05-15
150|Dodge Monaco (sw)|12.00|8|383.00|180.00|4955.00|11.50|US|1971-02-22
151|Ford Country Squire (sw)|13.00|8|400.00|170.00|4746.00|12.00|US|1971-11-06
152|Pontiac Safari (sw)|13.00|8|400.00|175.00|5140.00|12.00|US|1971-03-14
153|AMC Hornet Sportabout (sw)|18.00|6|258.00|110.00|2962.00|13.50|US|1971-06-17
154|Chevrolet Vega (sw)|22.00|4|140.00|72.00|2408.00|19.00|US|1971-10-29
155|Pontiac Firebird|19.00|6|250.00|100.00|3282.00|15.00|US|1971-06-04
156|Ford Mustang|18.00|6|250.00|88.00|3139.00|14.50|US|1971-07-19
157|Mercury Capri 2000|23.00|4|122.00|86.00|2220.00|14.00|US|1971-03-18
158|Opel 1900|28.00|4|116.00|90.00|2123.00|14.00|Europe|1971-04-17
159|Peugeot 304|30.00|4|79.00|70.00|2074.00|19.50|Europe|1971-02-09
160|Fiat 124B|30.00|4|88.00|76.00|2065.00|14.50|Europe|1971-04-01
161|Toyota Corolla 1200|31.00|4|71.00|65.00|1773.00|19.00|Japan|1971-09-20
162|Datsun 1200|35.00|4|72.00|69.00|1613.00|18.00|Japan|1971-02-01
163|Volkswagen Model 111|27.00|4|97.00|60.00|1834.00|19.00|Europe|1971-01-15
164|Plymouth Cricket|26.00|4|91.00|70.00|1955.00|20.50|US|1971-07-29
165|Toyota Corolla Hardtop|24.00|4|113.00|95.00|2278.00|15.50|Japan|1972-07-04
166|Dodge Colt Hardtop|25.00|4|97.50|80.00|2126.00|17.00|US|1972-04-10
167|Volkswagen Type 3|23.00|4|97.00|54.00|2254.00|23.50|Europe|1972-07-20
168|Chevrolet Vega|20.00|4|140.00|90.00|2408.00|19.50|US|1972-02-13
169|Ford Pinto Runabout|21.00|4|122.00|86.00|2226.00|16.50|US|1972-09-03
170|Chevrolet Impala|13.00|8|350.00|165.00|4274.00|12.00|US|1972-08-07
171|Pontiac Catalina|14.00|8|400.00|175.00|4385.00|12.00|US|1972-04-04
172|Plymouth Fury III|15.00|8|318.00|150.00|4135.00|13.50|US|1972-09-25
