admission_date|company_name|icb_industry|icb_supersector|country_of_incorp|world_region|market|international_issuer|market_cap
2006-08-02|1PM PLC|Financials|Financial Services|United Kingdom|Europe|AIM|No|11.57
2009-02-02|1SPATIAL PLC|Technology|Technology|United Kingdom|Europe|AIM|No|23.20
1994-07-18|3I GROUP PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|7708.66
2007-03-13|3I INFRASTRUCTURE PLC|Financials|Financial Services|Jersey|Europe|MAIN MARKET|No|2206.30
2014-02-18|4D PHARMA PLC|Health Care|Health Care|United Kingdom|Europe|AIM|No|27.37
1953-03-13|4IMPRINT GROUP PLC|Consumer Discretionary|Media|United Kingdom|Europe|MAIN MARKET|No|542.05
2011-07-14|600 GROUP PLC|Basic Materials|Basic Resources|United Kingdom|Europe|AIM|No|8.51
2014-06-10|7DIGITAL GROUP PLC|Consumer Discretionary|Retail|United Kingdom|Europe|AIM|No|5.52
2012-02-03|88 ENERGY LIMITED|Energy|Energy|Australia|Pacific|AIM|Yes|76.43
2005-10-04|888 HOLDINGS PLC|Consumer Discretionary|Travel and Leisure|Gibraltar|Europe|MAIN MARKET|Yes|458.22
2014-06-26|AA PLC|Consumer Discretionary|Automobiles and Parts|United Kingdom|Europe|MAIN MARKET|No|104.91
2013-05-22|AB DYNAMICS PLC|Industrials|Industrial Goods and Services|United Kingdom|Europe|AIM|No|256.68
2020-03-23|ABAL GROUP PLC|Technology|Technology|United Kingdom|Europe|MAIN MARKET|No|360.30
2004-11-16|ABBEY PLC|Consumer Discretionary|Consumer Products and Services|Ireland|Europe|AIM|Yes|237.41
2005-11-03|ABCAM PLC|Health Care|Health Care|United Kingdom|Europe|AIM|No|2356.09
2005-12-20|ABERDEEN ASIAN INCOME FUND LTD|Financials|Financial Services|Jersey|Europe|MAIN MARKET|No|274.45
1952-03-24|ABERDEEN DIVERSIFIED INCOME AND GROWTH TRUST PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|288.50
2009-11-10|ABERDEEN EMERGING MARKETS INVESTMENT COMPANY LIMITED|Financials|Financial Services|Guernsey|Europe|MAIN MARKET|No|212.13
2007-06-15|ABERDEEN FRONTIER MARKETS INVESTMENT COMPANY LIMITED|Financials|Financial Services|Guernsey|Europe|AIM|No|23.16
1998-10-01|ABERDEEN JAPAN INVESTMENT TRUST PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|75.96
2010-08-16|ABERDEEN LATIN AMERICAN INCOME FUND LIMITED|Financials|Financial Services|Jersey|Europe|MAIN MARKET|No|25.73
2013-09-03|ABERDEEN NEW DAWN INVESTMENT TRUST PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|226.67
1994-03-31|ABERDEEN NEW INDIA INVESTMENT TRUST PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|192.60
1989-12-22|ABERDEEN NEW THAI INVESTMENT TRUST PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|57.55
1992-08-28|ABERDEEN SMALLER COMPANIES INCOME TRUST PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|47.87
