ident,actual_ident,scheduled_departuretm,scheduled_arrivaltm,origin,destination,aircrafttype,meal_service,seats_cabin_first,seats_cabin_business,seats_cabin_coach
ALK2854,ACA854,2020-05-06T01:30:00.000+0000,2020-05-06T10:50:00.000+0000,CYVR,EGLL,B77W,Business: No meal / Economy: No meal,0,40,336
EIN8814,BAW114,2020-05-06T00:15:00.000+0000,2020-05-06T07:20:00.000+0000,KJFK,EGLL,,First: No meal / Business: No meal / Economy: No meal,12,48,159
BAW114,,2020-05-06T00:15:00.000+0000,2020-05-06T07:20:00.000+0000,KJFK,EGLL,,First: Meal / Business: Meal / Economy: Meal,12,48,159
FIN5514,BAW114,2020-05-06T00:15:00.000+0000,2020-05-06T07:20:00.000+0000,KJFK,EGLL,,First: Meal / Business: Meal / Economy: Meal,12,48,159
AAL6135,BAW114,2020-05-06T00:15:00.000+0000,2020-05-06T07:20:00.000+0000,KJFK,EGLL,,First: Meal / Business: Meal / Economy: Meal,12,48,159
KLM4828,VIR10,2020-05-06T00:30:00.000+0000,2020-05-06T07:40:00.000+0000,KJFK,EGLL,A35K,Business: Dinner / Economy: Dinner,0,44,291
DAL4377,VIR10,2020-05-06T00:30:00.000+0000,2020-05-06T07:40:00.000+0000,KJFK,EGLL,A35K,Business: Dinner / Economy: Dinner,0,44,291
SIA2510,VIR10,2020-05-06T00:30:00.000+0000,2020-05-06T07:40:00.000+0000,KJFK,EGLL,A35K,Business: Dinner / Economy: Dinner,0,44,291
AFR6759,VIR10,2020-05-06T00:30:00.000+0000,2020-05-06T07:40:00.000+0000,KJFK,EGLL,A35K,Business: Dinner / Economy: Dinner,0,44,291
VIR10,,2020-05-06T00:30:00.000+0000,2020-05-06T07:40:00.000+0000,KJFK,EGLL,A35K,Business: Dinner / Economy: Dinner,0,44,291
ETH1141,ACA848,2020-05-06T00:35:00.000+0000,2020-05-06T07:35:00.000+0000,CYYZ,EGLL,B77W,"Business: Breakfast, Meal / Economy: Breakfast, Meal",0,40,360
DLH6583,ACA848,2020-05-06T00:35:00.000+0000,2020-05-06T07:35:00.000+0000,CYYZ,EGLL,B77W,"Business: Breakfast, Meal / Economy: Breakfast, Meal",0,40,360
ACA848,,2020-05-06T00:35:00.000+0000,2020-05-06T07:35:00.000+0000,CYYZ,EGLL,B77W,"Business: Breakfast, Meal / Economy: Breakfast, Meal",0,40,360
SIA1015,ACA848,2020-05-06T00:35:00.000+0000,2020-05-06T07:35:00.000+0000,CYYZ,EGLL,B77W,Business: No meal / Economy: No meal,0,40,360
EMT1141,ACA848,2020-05-06T00:35:00.000+0000,2020-05-06T07:35:00.000+0000,CYYZ,EGLL,B77W,"Business: Breakfast, Meal / Economy: Breakfast, Meal",0,40,360
AIC7310,ACA848,2020-05-06T00:35:00.000+0000,2020-05-06T07:35:00.000+0000,CYYZ,EGLL,B77W,Business: Meal / Economy: Meal,0,40,360
UAL8384,ACA848,2020-05-06T00:35:00.000+0000,2020-05-06T07:35:00.000+0000,CYYZ,EGLL,B77W,"Business: Breakfast, Meal / Economy: Breakfast, Meal",0,40,360
ALK2848,ACA848,2020-05-06T00:35:00.000+0000,2020-05-06T07:35:00.000+0000,CYYZ,EGLL,B77W,Business: No meal / Economy: No meal,0,40,360
